date,close,ma50,ma200,distance50,distance200
2025-01-09,2521.9,2481.86,2638.4,101.61,95.58
2025-01-10,2515.78,2479.82,2637.64,101.45,95.38
2025-01-13,2489.56,2477.74,2636.66,100.48,94.42
2025-01-14,2497.4,2476.56,2635.87,100.84,94.75
2025-01-15,2496.81,2475.65,2634.9,100.85,94.76
2025-01-16,2527.49,2474.42,2633.77,102.14,95.96
2025-01-17,2523.55,2473.36,2632.64,102.03,95.86
2025-01-20,2520.05,2472.49,2631.55,101.92,95.76
2025-01-21,2518.03,2471.56,2630.36,101.88,95.73
2025-01-22,2547.06,2471.27,2629.32,103.07,96.87
2025-01-23,2515.49,2470.95,2628.17,101.8,95.71
2025-01-24,2536.8,2472.03,2627.12,102.62,96.56
2025-01-31,2517.37,2474.04,2625.96,101.75,95.86
2025-02-03,2453.95,2474.74,2624.47,99.16,93.5
2025-02-04,2481.69,2476.04,2623.34,100.23,94.6
2025-02-05,2509.27,2476.84,2622.18,101.31,95.69
2025-02-06,2536.75,2478.14,2621.29,102.37,96.77
2025-02-07,2521.92,2478.93,2620.31,101.73,96.25
2025-02-10,2521.27,2479.74,2619.39,101.67,96.25
2025-02-11,2539.05,2480.5,2618.55,102.36,96.96
2025-02-12,2548.39,2480.78,2617.89,102.73,97.35
2025-02-13,2583.17,2482.04,2617.45,104.07,98.69
2025-02-14,2591.05,2483.8,2617.36,104.32,98.99
2025-02-17,2610.42,2485.91,2617.49,105.01,99.73
2025-02-18,2626.81,2489.33,2617.45,105.52,100.36
2025-02-19,2671.52,2493.67,2617.85,107.13,102.05
2025-02-20,2654.06,2496.75,2617.97,106.3,101.38
2025-02-21,2654.58,2500.56,2618.13,106.16,101.39
2025-02-24,2645.27,2504.63,2617.98,105.62,101.04
2025-02-25,2630.29,2508.67,2617.98,104.85,100.47
2025-02-26,2641.09,2514.28,2617.91,105.04,100.89
2025-02-27,2621.75,2518.36,2617.58,104.11,100.16
2025-02-28,2532.78,2520.17,2616.78,100.5,96.79
2025-03-04,2528.92,2521.1,2616.01,100.31,96.67
2025-03-05,2558.13,2522.38,2615.42,101.42,97.81
2025-03-06,2576.16,2524.12,2614.63,102.06,98.53
2025-03-07,2563.48,2526.25,2613.72,101.47,98.08
2025-03-10,2570.39,2527.97,2613.01,101.68,98.37
2025-03-11,2537.6,2530.01,2612.06,100.3,97.15
2025-03-12,2574.82,2533.42,2611.3,101.63,98.6
2025-03-13,2573.64,2536.05,2610.51,101.48,98.59
2025-03-14,2566.36,2538.57,2609.58,101.09,98.34
2025-03-17,2610.69,2542.19,2609.01,102.69,100.06
2025-03-18,2612.34,2546.34,2608.36,102.59,100.15
2025-03-19,2628.62,2550.92,2607.88,103.05,100.8
2025-03-20,2637.1,2555.69,2607.45,103.19,101.14
2025-03-21,2643.13,2559.71,2607.06,103.26,101.38
2025-03-24,2632.07,2562.58,2606.78,102.71,100.97
2025-03-25,2615.81,2565.05,2606.24,101.98,100.37
2025-03-26,2643.94,2567.51,2605.85,102.98,101.46
2025-03-27,2607.15,2569.22,2605.5,101.48,100.06
2025-03-28,2557.98,2570.06,2605.11,99.53,98.19
2025-03-31,2481.12,2569.89,2604.34,96.55,95.27
2025-04-01,2521.39,2570.37,2603.53,98.09,96.85
2025-04-02,2505.86,2570.55,2602.75,97.48,96.28
2025-04-03,2486.7,2569.74,2601.73,96.77,95.58
2025-04-04,2465.42,2568.57,2600.45,95.98,94.81
2025-04-07,2328.2,2564.74,2598.58,90.78,89.6
2025-04-08,2334.23,2561.06,2596.73,91.14,89.89
2025-04-09,2293.7,2555.99,2594.56,89.74,88.4
2025-04-10,2445.06,2554.59,2593.01,95.71,94.29
2025-04-11,2432.72,2552.5,2591.38,95.31,93.88
2025-04-14,2455.89,2551.27,2589.94,96.26,94.82
2025-04-15,2477.41,2551.74,2588.5,97.09,95.71
2025-04-16,2447.43,2551.06,2586.75,95.94,94.61
2025-04-17,2470.41,2550.28,2585.07,96.87,95.56
2025-04-18,2483.42,2549.21,2583.56,97.42,96.12
2025-04-21,2488.42,2548.54,2582.18,97.64,96.37
2025-04-22,2486.64,2547.85,2580.74,97.6,96.35
2025-04-23,2525.56,2547.58,2579.41,99.14,97.91
2025-04-24,2522.33,2547.06,2578.1,99.03,97.84
2025-04-25,2546.3,2546.32,2576.85,100.0,98.81
2025-04-28,2548.86,2545.48,2575.57,100.13,98.96
2025-04-29,2565.42,2544.58,2574.49,100.82,99.65
2025-04-30,2556.61,2543.18,2573.3,100.53,99.35
2025-05-02,2559.79,2540.94,2571.98,100.74,99.53
2025-05-07,2573.8,2539.34,2570.54,101.36,100.13
2025-05-08,2579.48,2537.83,2569.14,101.64,100.4
2025-05-09,2577.27,2536.47,2567.69,101.61,100.37
2025-05-12,2607.33,2536.01,2566.39,102.81,101.6
2025-05-13,2608.42,2535.36,2564.98,102.88,101.69
2025-05-14,2640.57,2535.74,2563.89,104.13,102.99
2025-05-15,2621.36,2537.51,2562.7,103.3,102.29
2025-05-16,2626.87,2539.47,2561.5,103.44,102.55
2025-05-19,2603.42,2540.37,2560.3,102.48,101.68
2025-05-20,2601.8,2540.89,2559.19,102.4,101.66
2025-05-21,2625.58,2542.13,2558.34,103.28,102.63
2025-05-22,2593.67,2542.59,2557.49,102.01,101.41
2025-05-23,2592.09,2543.68,2556.58,101.9,101.39
2025-05-26,2644.4,2545.08,2556.01,103.9,103.46
2025-05-27,2637.22,2546.35,2555.64,103.57,103.19
2025-05-28,2670.15,2548.42,2555.33,104.78,104.49
2025-05-29,2720.64,2550.62,2555.11,106.67,106.48
2025-05-30,2697.67,2552.33,2554.9,105.69,105.59
2025-06-02,2698.97,2553.74,2554.55,105.69,105.65
2025-06-04,2770.84,2556.41,2554.51,108.39,108.47
2025-06-05,2812.05,2559.79,2555.19,109.85,110.05
2025-06-09,2855.77,2564.26,2557.26,111.37,111.67
2025-06-10,2871.85,2569.38,2559.01,111.77,112.23
2025-06-11,2907.04,2574.65,2560.7,112.91,113.53
2025-06-12,2920.03,2580.9,2562.52,113.14,113.95
2025-06-13,2894.62,2587.64,2564.05,111.86,112.89
2025-06-16,2946.66,2596.95,2565.69,113.47,114.85
2025-06-17,2950.3,2605.52,2567.34,113.23,114.92
2025-06-18,2972.19,2614.85,2568.97,113.67,115.7
2025-06-19,2977.74,2624.67,2570.38,113.45,115.85
2025-06-20,3021.84,2635.8,2572.11,114.65,117.48
2025-06-23,3014.47,2649.53,2573.7,113.77,117.13
2025-06-24,3103.64,2664.91,2575.72,116.46,120.5
2025-06-25,3108.25,2681.21,2577.72,115.93,120.58
2025-06-26,3079.56,2693.9,2579.61,114.32,119.38
2025-06-27,3055.94,2706.36,2581.4,112.92,118.38
2025-06-30,3071.7,2718.68,2583.31,112.98,118.91
2025-07-01,3089.65,2730.92,2585.31,113.14,119.51
2025-07-02,3075.06,2743.47,2587.37,112.09,118.85
2025-07-03,3116.27,2756.39,2589.58,113.06,120.34
2025-07-04,3054.28,2767.81,2591.45,110.35,117.86
2025-07-07,3059.47,2779.23,2593.42,110.08,117.97
2025-07-08,3114.95,2791.8,2596.09,111.57,119.99
2025-07-09,3133.74,2803.96,2598.89,111.76,120.58
2025-07-10,3183.23,2817.18,2602.08,112.99,122.33
2025-07-11,3175.77,2829.77,2605.28,112.23,121.9
2025-07-14,3202.03,2842.83,2608.67,112.64,122.75
2025-07-15,3215.28,2855.83,2612.18,112.59,123.09
2025-07-16,3186.38,2868.42,2615.25,111.08,121.84
2025-07-17,3192.29,2881.07,2618.34,110.8,121.92
2025-07-18,3188.07,2893.36,2621.37,110.19,121.62
2025-07-21,3210.81,2905.98,2624.46,110.49,122.34
2025-07-22,3169.94,2917.84,2627.3,108.64,120.65
2025-07-23,3183.77,2929.37,2630.06,108.68,121.05
2025-07-24,3190.45,2941.01,2633.03,108.48,121.17
2025-07-25,3196.05,2952.12,2635.66,108.26,121.26
2025-07-28,3209.52,2963.88,2638.45,108.29,121.64
2025-07-29,3230.57,2975.95,2641.64,108.56,122.29
2025-07-30,3254.47,2988.97,2645.1,108.88,123.04
2025-07-31,3245.44,3001.85,2648.48,108.11,122.54
2025-08-01,3119.41,3011.72,2651.03,103.58,117.67
2025-08-04,3147.75,3022.81,2653.79,104.13,118.61
2025-08-05,3198.0,3034.92,2656.79,105.37,120.37
2025-08-06,3198.14,3046.0,2659.8,104.99,120.24
2025-08-07,3227.68,3057.81,2662.82,105.56,121.21
2025-08-08,3210.01,3068.6,2665.7,104.61,120.42
2025-08-11,3206.77,3078.33,2668.68,104.17,120.16
2025-08-12,3189.91,3088.17,2671.59,103.29,119.4
2025-08-13,3224.37,3098.68,2674.74,104.06,120.55
2025-08-14,3225.66,3107.78,2677.84,103.79,120.46
2025-08-18,3177.28,3115.08,2680.87,102.0,118.52
2025-08-19,3151.56,3121.0,2683.63,100.98,117.44
2025-08-20,3130.09,3126.16,2686.38,100.13,116.52
2025-08-21,3141.74,3130.86,2689.17,100.35,116.83
2025-08-22,3168.73,3135.83,2691.95,101.05,117.71
2025-08-25,3209.86,3142.13,2694.91,102.16,119.11
2025-08-26,3179.36,3146.79,2697.84,101.04,117.85
2025-08-27,3187.16,3151.53,2701.0,101.13,118.0
2025-08-28,3196.32,3156.01,2704.27,101.28,118.2
2025-08-29,3186.01,3160.17,2707.25,100.82,117.68
2025-09-01,3142.93,3162.6,2710.08,99.38,115.97
2025-09-02,3172.35,3165.75,2713.13,100.21,116.93
2025-09-03,3184.42,3167.37,2716.22,100.54,117.24
2025-09-04,3200.83,3169.22,2719.42,101.0,117.7
2025-09-05,3205.12,3171.73,2722.79,101.05,117.71
