date,close,ma50,ma200,distance50,distance200
2025-01-09,56100,55248.0,70531.5,101.54,79.54
2025-01-10,55300,55162.0,70446.5,100.25,78.5
2025-01-13,54100,55062.0,70353.0,98.25,76.9
2025-01-14,53900,54956.0,70258.5,98.08,76.72
2025-01-15,53700,54864.0,70142.5,97.88,76.56
2025-01-16,54300,54776.0,70017.5,99.13,77.55
2025-01-17,53700,54698.0,69891.5,98.18,76.83
2025-01-20,53400,54620.0,69767.5,97.77,76.54
2025-01-21,53500,54540.0,69635.5,98.09,76.83
2025-01-22,54300,54486.0,69508.0,99.66,78.12
2025-01-23,53700,54460.0,69372.5,98.6,77.41
2025-01-24,53700,54474.0,69229.0,98.58,77.57
2025-01-31,52400,54510.0,69081.0,96.13,75.85
2025-02-03,51000,54532.0,68911.0,93.52,74.01
2025-02-04,52700,54516.0,68754.0,96.67,76.65
2025-02-05,52900,54440.0,68592.0,97.17,77.12
2025-02-06,54000,54394.0,68439.5,99.28,78.9
2025-02-07,53700,54362.0,68285.5,98.78,78.64
2025-02-10,55600,54346.0,68145.5,102.31,81.59
2025-02-11,55700,54340.0,68003.5,102.5,81.91
2025-02-12,55800,54298.0,67864.0,102.77,82.22
2025-02-13,55800,54248.0,67732.0,102.86,82.38
2025-02-14,56000,54242.0,67612.0,103.24,82.83
2025-02-17,56000,54252.0,67497.5,103.22,82.97
2025-02-18,56900,54306.0,67384.0,104.78,84.44
2025-02-19,58700,54408.0,67289.5,107.89,87.24
2025-02-20,58400,54504.0,67201.0,107.15,86.9
2025-02-21,58200,54606.0,67114.5,106.58,86.72
2025-02-24,57300,54678.0,67008.0,104.8,85.51
2025-02-25,57200,54740.0,66912.5,104.49,85.48
2025-02-26,56600,54804.0,66812.0,103.28,84.72
2025-02-27,56300,54850.0,66710.0,102.64,84.4
2025-02-28,54500,54860.0,66595.0,99.34,81.84
2025-03-04,54500,54832.0,66477.5,99.39,81.98
2025-03-05,54000,54790.0,66359.5,98.56,81.37
2025-03-06,54300,54764.0,66224.5,99.15,81.99
2025-03-07,53700,54754.0,66086.5,98.08,81.26
2025-03-10,53700,54730.0,65956.5,98.12,81.42
2025-03-11,53600,54740.0,65828.5,97.92,81.42
2025-03-12,54900,54778.0,65711.0,100.22,83.55
2025-03-13,54700,54802.0,65593.0,99.81,83.39
2025-03-14,54700,54808.0,65475.5,99.8,83.54
2025-03-17,57600,54888.0,65376.5,104.94,88.11
2025-03-18,57600,54966.0,65270.0,104.79,88.25
2025-03-19,58500,55072.0,65170.5,106.22,89.76
2025-03-20,60200,55208.0,65083.0,109.04,92.5
2025-03-21,61700,55354.0,65000.0,111.46,94.92
2025-03-24,60500,55446.0,64923.0,109.12,93.19
2025-03-25,59800,55534.0,64836.0,107.68,92.23
2025-03-26,61400,55616.0,64755.0,110.4,94.82
2025-03-27,61800,55730.0,64688.0,110.89,95.54
2025-03-28,60200,55828.0,64621.5,107.83,93.16
2025-03-31,57800,55902.0,64543.0,103.4,89.55
2025-04-01,58800,56000.0,64458.5,105.0,91.22
2025-04-02,58800,56102.0,64376.0,104.81,91.34
2025-04-03,57600,56168.0,64277.0,102.55,89.61
2025-04-04,56100,56216.0,64171.0,99.79,87.42
2025-04-07,53200,56212.0,64058.5,94.64,83.05
2025-04-08,53500,56212.0,63950.0,95.18,83.66
2025-04-09,53000,56186.0,63832.5,94.33,83.03
2025-04-10,56400,56240.0,63721.5,100.28,88.51
2025-04-11,55200,56270.0,63599.5,98.1,86.79
2025-04-14,56200,56346.0,63490.0,99.74,88.52
2025-04-15,56600,56458.0,63374.0,100.25,89.31
2025-04-16,54700,56498.0,63241.5,96.82,86.49
2025-04-17,55100,56542.0,63109.0,97.45,87.31
2025-04-18,55300,56568.0,62985.5,97.76,87.8
2025-04-21,55400,56602.0,62859.5,97.88,88.13
2025-04-22,55000,56590.0,62730.5,97.19,87.68
2025-04-23,55700,56590.0,62602.5,98.43,88.97
2025-04-24,55700,56588.0,62473.0,98.43,89.16
2025-04-25,55700,56586.0,62344.0,98.43,89.34
2025-04-28,55800,56582.0,62214.0,98.62,89.69
2025-04-29,55800,56578.0,62084.0,98.62,89.88
2025-04-30,55500,56550.0,61952.5,98.14,89.58
2025-05-02,54300,56462.0,61801.0,96.17,87.86
2025-05-07,54600,56386.0,61638.5,96.83,88.58
2025-05-08,54600,56314.0,61474.5,96.96,88.82
2025-05-09,54800,56264.0,61309.5,97.4,89.38
2025-05-12,57600,56272.0,61158.5,102.36,94.18
2025-05-13,56900,56278.0,61005.0,101.11,93.27
2025-05-14,57400,56300.0,60870.0,101.95,94.3
2025-05-15,57300,56356.0,60723.0,101.68,94.36
2025-05-16,56800,56402.0,60568.5,100.71,93.78
2025-05-19,55800,56438.0,60414.0,98.87,92.36
2025-05-20,55900,56470.0,60259.0,98.99,92.77
2025-05-21,55700,56510.0,60115.5,98.57,92.65
2025-05-22,54700,56530.0,59974.0,96.76,91.21
2025-05-23,54200,56542.0,59825.5,95.86,90.6
2025-05-26,54700,56538.0,59689.0,96.75,91.64
2025-05-27,53900,56522.0,59556.5,95.36,90.5
2025-05-28,55900,56546.0,59431.5,98.86,94.06
2025-05-29,56100,56516.0,59306.0,99.26,94.59
2025-05-30,56200,56488.0,59182.0,99.49,94.96
2025-06-02,56800,56454.0,59046.5,100.61,96.2
2025-06-04,57800,56406.0,58920.0,102.47,98.1
