date,close
2024-03-15,72300
2024-03-18,72800
2024-03-19,72800
2024-03-20,76900
2024-03-21,79300
2024-03-22,78900
2024-03-25,78200
2024-03-26,79900
2024-03-27,79800
2024-03-28,80800
2024-03-29,82400
2024-04-01,82000
2024-04-02,85000
2024-04-03,84100
2024-04-04,85300
2024-04-05,84500
2024-04-08,84500
2024-04-09,83600
2024-04-11,84100
2024-04-12,83700
2024-04-15,82200
2024-04-16,80000
2024-04-17,78900
2024-04-18,79600
2024-04-19,77600
2024-04-22,76100
2024-04-23,75500
2024-04-24,78600
2024-04-25,76300
2024-04-26,76700
2024-04-29,76700
2024-04-30,77500
2024-05-02,78000
2024-05-03,77600
2024-05-07,81300
2024-05-08,81300
2024-05-09,79700
2024-05-10,79200
2024-05-13,78400
2024-05-14,78300
2024-05-16,78200
2024-05-17,77400
2024-05-20,78900
2024-05-21,78400
2024-05-22,77700
2024-05-23,78300
2024-05-24,75900
2024-05-27,77200
2024-05-28,77600
2024-05-29,75200
2024-05-30,73500
2024-05-31,73500
2024-06-03,75700
2024-06-04,75300
2024-06-05,77400
2024-06-07,77300
2024-06-10,75700
2024-06-11,75200
2024-06-12,76500
2024-06-13,78600
2024-06-14,79600
2024-06-17,78100
2024-06-18,79800
2024-06-19,81200
2024-06-20,81600
2024-06-21,80000
2024-06-24,80600
2024-06-25,80800
2024-06-26,81300
2024-06-27,81600
2024-06-28,81500
2024-07-01,81800
2024-07-02,81800
2024-07-03,81800
2024-07-04,84600
2024-07-05,87100
2024-07-08,87400
2024-07-09,87800
2024-07-10,87800
2024-07-11,87600
2024-07-12,84400
2024-07-15,86700
2024-07-16,87700
2024-07-17,86700
2024-07-18,86900
2024-07-19,84400
2024-07-22,83000
2024-07-23,83900
2024-07-24,82000
2024-07-25,80400
2024-07-26,80900
2024-07-29,81200
2024-07-30,81000
2024-07-31,83900
2024-08-01,83100
2024-08-02,79600
2024-08-05,71400
2024-08-06,72500
2024-08-07,74700
2024-08-08,73400
2024-08-09,74700
2024-08-12,75500
2024-08-13,76100
2024-08-14,77200
2024-08-16,80200
2024-08-19,78300
2024-08-20,78900
2024-08-21,78300
2024-08-22,78300
2024-08-23,77700
2024-08-26,76100
2024-08-27,75800
2024-08-28,76400
2024-08-29,74000
