date,close,ma50,ma200,distance50,distance200
2025-01-09,129200,117734.0,139942.0,109.74,92.32
2025-01-10,129300,117916.0,139860.5,109.65,92.45
2025-01-13,126600,118094.0,139767.5,107.2,90.58
2025-01-14,126100,118248.0,139660.5,106.64,90.29
2025-01-15,123100,118368.0,139538.0,104.0,88.22
2025-01-16,123600,118460.0,139408.0,104.34,88.66
2025-01-17,128200,118642.0,139324.5,108.06,92.02
2025-01-20,126600,118810.0,139232.5,106.56,90.93
2025-01-21,126500,118988.0,139135.5,106.31,90.92
2025-01-22,130500,119262.0,139041.5,109.42,93.86
2025-01-23,127500,119564.0,138929.5,106.64,91.77
2025-01-24,128100,119906.0,138826.5,106.83,92.27
2025-01-31,134100,120452.0,138727.5,111.33,96.66
2025-02-03,131100,120946.0,138608.0,108.4,94.58
2025-02-04,131800,121380.0,138527.0,108.58,95.14
2025-02-05,131000,121750.0,138405.0,107.6,94.65
2025-02-06,134600,122220.0,138283.5,110.13,97.34
2025-02-07,138500,122768.0,138190.0,112.81,100.22
2025-02-10,144100,123418.0,138124.0,116.76,104.33
2025-02-11,144700,124072.0,138065.0,116.63,104.81
2025-02-12,144500,124696.0,137999.0,115.88,104.71
2025-02-13,145200,125302.0,137965.0,115.88,105.24
2025-02-14,148200,126030.0,137963.5,117.59,107.42
2025-02-17,147400,126738.0,137962.5,116.3,106.84
2025-02-18,145300,127484.0,137955.5,113.98,105.32
2025-02-19,144700,128234.0,137964.5,112.84,104.88
2025-02-20,143900,128926.0,137959.5,111.61,104.31
2025-02-21,143200,129666.0,137959.5,110.44,103.8
2025-02-24,143700,130350.0,137938.0,110.24,104.18
2025-02-25,142100,130984.0,137926.0,108.49,103.03
2025-02-26,141100,131694.0,137900.5,107.14,102.32
2025-02-27,142500,132218.0,137856.5,107.78,103.37
2025-02-28,135000,132532.0,137752.0,101.86,98.0
2025-03-04,136800,132854.0,137670.5,102.97,99.37
2025-03-05,135700,133046.0,137593.5,101.99,98.62
2025-03-06,135900,133214.0,137483.0,102.02,98.85
2025-03-07,134900,133420.0,137374.5,101.11,98.2
2025-03-10,132900,133556.0,137266.0,99.51,96.82
2025-03-11,135800,133714.0,137177.0,101.56,99.0
2025-03-12,137300,133886.0,137104.0,102.55,100.14
2025-03-13,138100,134084.0,137036.5,103.0,100.78
2025-03-14,137400,134292.0,136952.5,102.31,100.33
2025-03-17,139800,134570.0,136893.0,103.89,102.12
2025-03-18,137100,134822.0,136805.5,101.69,100.22
